event_id;event_name;domain;trigger;description_de;payload_schema;required_fields;example_payload;privacy_level;owner;version;priority;notes;inferred;category;sampling;consumers;impact;effort;risk;priority_score;exists
cbbd11c6322d;alert_create;alert;ui.submit;Preis-Alert erstellen;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""condition"": {""type"": ""string""}, ""threshold"": {""type"": ""string""}, ""notifyVia"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""sessionId"", ""symbol"", ""ts""]}";"[""userId"", ""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""condition"": ""price_above"", ""threshold"": 50000, ""notifyVia"": ""push"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;alerts;1.0.0;A;Server dedupe by userId+symbol+condition;false;alerts;none;alerts service, notification scheduler, analytics;5;1;3;6;yes
4f7b1eeea4a1;error.occurred;system;error;Fehler ist aufgetreten;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""errorType"": {""type"": ""string""}, ""message"": {""type"": ""string""}, ""stack"": {""type"": ""string"", ""nullable"": true}, ""context"": {""type"": ""object""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""errorType"", ""message"", ""ts""]}";"[""sessionId"", ""errorType"", ""message"", ""ts""]";{};sensitive;engineering;1.0.0;A;From useEventLogger - critical for debugging;true;system;none;analytics;4;2;1;5;inferred
304f6928dd1c;push.permission_request;push;ui.click;Push-Benachrichtigungsberechtigung angefordert;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""result"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;notifications;1.0.0;A;Critical for notification opt-in tracking;true;push;none;analytics;4;2;1;5;inferred
ef1d3b8243e9;replay_export_start;replay;ui.interaction;Clip-Export starten;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""from"": {""type"": ""string"", ""format"": ""date-time""}, ""to"": {""type"": ""string"", ""format"": ""date-time""}, ""format"": {""type"": ""string""}, ""userId"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""userId"", ""ts""]}";"[""sessionId"", ""userId"", ""ts""]";"{""sessionId"": ""replay_789"", ""from"": ""2025-11-09T10:00:00Z"", ""to"": ""2025-11-09T10:05:00Z"", ""format"": ""mp4"", ""userId"": ""user_123"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;replay;1.0.0;A;"Jobs return jobId; gated access";false;replay;none;export service, analytics;5;1;5;4;yes
3d5f22d6cabf;replay_seek;replay;ui.seek;Zu Timestamp springen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""tsTarget"": {""type"": ""string"", ""format"": ""date-time""}, ""userTs"": {""type"": ""string"", ""format"": ""date-time""}, ""scrubBy"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}}, ""required"": [""sessionId""]}";"[""sessionId""]";"{""sessionId"": ""replay_789"", ""tsTarget"": ""2025-11-09T10:00:00Z"", ""userTs"": ""2025-11-09T19:36:13.491220Z"", ""scrubBy"": 120}";sensitive;replay;1.0.0;A;High-frequency — heavily sampled;false;replay;sampled (1%);analytics, replay indexing;5;1;3;6;yes
5fa45de15b47;replay_session_load;replay;ui.click;Replay-Session laden;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""sessionOwner"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""replay_789"", ""sessionOwner"": ""user_123"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;replay;1.0.0;A;"Authenticate access; 404 if missing";false;replay;none;replay service, storage, analytics;5;1;3;6;yes
59a72e8e4011;screen_view;navigation;ui.view;Bildschirm/Seite wurde angezeigt;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""screen_name"": {""type"": ""string""}, ""path"": {""type"": ""string""}, ""referrer"": {""type"": ""string"", ""nullable"": true}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""screen_name"", ""ts""]}";"[""sessionId"", ""screen_name"", ""ts""]";{};public;unassigned;1.0.0;A;Core navigation event - missing from catalog;true;navigation;none;analytics;4;2;1;5;inferred
f61b3b2b253a;session.end;session;system;Session beendet;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""duration"": {""type"": ""integer""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;analytics;1.0.0;A;From useEventLogger - session completion tracking;true;session;none;analytics;4;2;1;5;inferred
ee8f37c78b68;session.start;session;system;Neue Session gestartet;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""userAgent"": {""type"": ""string""}, ""viewport"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;analytics;1.0.0;A;From useEventLogger - foundational session tracking;true;session;none;analytics;4;2;1;5;inferred
a8518ac9ab3e;ui_snapshot_create;ui;ui.interaction;Snapshot speichern;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""snapId"": {""type"": ""string""}, ""symbol"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""title"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""annotations"": {""oneOf"": [{""type"": ""object""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""snapId"": ""snap_001"", ""symbol"": ""BTCUSDT"", ""title"": ""FOMO Buy"", ""annotations"": {""note"": ""too early""}, ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;journal;1.0.0;A;"Optimistic UI; server persists with unique snapId";false;snapshot;none;journal, signals feed, analytics;5;1;5;4;yes
aaefd8868bb7;user.signup;user;ui.submit;Benutzer hat sich registriert;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""method"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""method"", ""ts""]}";"[""userId"", ""method"", ""ts""]";{};pii;auth;1.0.0;A;Critical user lifecycle event;true;user;none;analytics;4;2;1;5;inferred
aa2f0b575a67;wallet.connect;wallet;api.call;Wallet wurde verbunden;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""walletType"": {""type"": ""string""}, ""address"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""walletType"", ""ts""]}";"[""sessionId"", ""walletType"", ""ts""]";{};pseudonymous;wallet;1.0.0;A;From codebase analysis - wallet flow;true;wallet;none;analytics;4;2;1;5;inferred
6e2f3751bc27;watchlist_add;watchlist;ui.click;Symbol zur Watchlist hinzufügen;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""source"": {""type"": ""string""}, ""position"": {""oneOf"": [{""type"": ""integer""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""source"": ""dashboard"", ""position"": 3, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;A;Idempotency: dedupe by userId+symbol+tsWindow;false;watchlist;none;watchlist service, analytics, UI store;5;1;1;8;yes
cc71771d46e9;watchlist_bulk_remove;watchlist;ui.interaction;Mehrere Symbole entfernen;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbols"": {""type"": ""array"", ""items"": {""type"": ""string""}}, ""count"": {""type"": ""integer""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""sessionId"", ""ts""]}";"[""userId"", ""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbols"": [""BTCUSDT"", ""ETHUSDT""], ""count"": 2, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;A;Operation keyed by batchId for idempotency;false;watchlist;none;watchlist service, analytics;5;1;1;8;yes
48f0fbf44034;watchlist_remove;watchlist;ui.interaction;Symbol entfernen;"{""type"": ""object"", ""properties"": {""userId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""userId"", ""sessionId"", ""symbol"", ""ts""]}";"[""userId"", ""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;A;Server-side idempotency by userId+symbol;false;watchlist;none;watchlist service, analytics;5;1;1;8;yes
dffe5ce97608;chart_annotation_create;chart;ui.interaction;Annotation erstellen;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""id"": {""type"": ""string""}, ""coords"": {""type"": ""object""}, ""text"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""id"": ""ann_01"", ""coords"": {""x"": 1000, ""y"": 200}, ""text"": ""support hold"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;chart;1.0.0;B;"Optimistic UI; persist with idempotent id";false;chart;none;annotation service, journal, analytics;4;1;5;2;yes
39336916e75c;dash_journal_open;dash;ui.view;Trade-Journal öffnen;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""from"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""from"": ""dashboard"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;journal;1.0.0;B;"Guard access; redaction rules";false;journal;none;journal service, analytics;4;1;5;2;yes
a05045848064;dash_signal_open;dash;ui.click;Signal-Detail öffnen;"{""type"": ""object"", ""properties"": {""signalId"": {""type"": ""string""}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""signalId"": ""sig_101"", ""sessionId"": ""sess_456"", ""symbol"": ""ETHUSDT"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;signals;1.0.0;B;;false;signals;none;signals service, analytics;4;1;1;6;yes
993da758cb65;dash_symbol_open;dash;ui.click;Chart für Symbol öffnen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""position"": {""oneOf"": [{""type"": ""integer""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""position"": 1, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;B;Navigates to /chart/:symbol;false;dashboard;none;analytics, routing telemetry;4;1;1;6;yes
3f246a2404ab;order_panel_open;order;ui.view;Order-Panel öffnen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""origin"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""origin"": ""right_rail"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;trading;1.0.0;B;;false;order;none;UX analytics;3;1;1;4;yes
4c1c1f075b5a;order_place_preview;order;ui.interaction;Order-Vorschau anzeigen;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""side"": {""type"": ""string""}, ""size"": {""type"": ""string""}, ""sl"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}, ""tp"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""side"": ""buy"", ""size"": ""0.1"", ""sl"": 48000, ""tp"": 52000, ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;trading;1.0.0;B;No execution - preview only;false;order;none;analytics, risk engine (optional);4;1;5;2;yes
f0aae8f4e730;order_place_sim;order;ui.interaction;Simulierten Order platzieren;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""side"": {""type"": ""string""}, ""size"": {""type"": ""number""}, ""sl"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}, ""tp"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}, ""simulated"": {""type"": ""boolean""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""side"": ""sell"", ""size"": 0.05, ""sl"": 49500, ""tp"": 47000, ""simulated"": true, ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;trading;1.0.0;B;Mark simulated:true;false;order;none;simulator, journal, analytics;4;1;5;2;yes
9e7dd608596b;pwa.install_prompt_shown;pwa;system;PWA-Installationsaufforderung wurde angezeigt;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""platform"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";{};public;product/ux;1.0.0;B;PWA adoption metric;true;pwa;none;analytics;4;2;1;5;inferred
d6ff8ff48418;replay_bookmark_create;replay;ui.interaction;Lesezeichen erstellen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}, ""note"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""tsCreated"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""replay_789"", ""ts"": ""2025-11-09T10:00:00Z"", ""note"": ""Key inflection"", ""userId"": ""user_123"", ""tsCreated"": ""2025-11-09T19:36:13.491220Z""}";pii;replay;1.0.0;B;Deduplicate by sessionId+ts+userId;false;replay;none;replay, journal, analytics;4;1;5;2;yes
ae153543b7cc;replay_play_toggle;replay;ui.interaction;Wiedergabe starten/pausieren;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""playing"": {""type"": ""boolean""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""replay_789"", ""playing"": true, ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;replay;1.0.0;B;Sample play events to reduce volume;false;replay;sampled (10%);UX analytics, session metrics;4;1;3;4;yes
909e020f354c;ui_export_start;ui;ui.interaction;Datenexport starten;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""format"": {""type"": ""string""}, ""options"": {""oneOf"": [{""type"": ""object""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""format"": ""csv"", ""options"": {}, ""ts"": ""2025-11-09T19:36:13.491220Z""}";pii;export;1.0.0;B;"Enqueue job; return jobId";false;export;none;export service, analytics;4;1;5;2;yes
96da7d787476;ui_layout_save;ui;ui.interaction;Layout speichern;"{""type"": ""object"", ""properties"": {""userId"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""sessionId"": {""type"": ""string""}, ""layoutId"": {""type"": ""string""}, ""layoutHash"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""userId"": ""user_123"", ""sessionId"": ""sess_456"", ""layoutId"": ""layout_01"", ""layoutHash"": ""abc123"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;B;Use layoutHash to dedupe;false;ui;none;layout service, analytics;4;1;1;6;yes
59be71e347de;ui_search_select;ui;ui.click;Suche auswählen und navigieren;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""query"": {""type"": ""string""}, ""selectedSymbol"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""selectionType"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""query"": ""BTC"", ""selectedSymbol"": ""BTCUSDT"", ""selectionType"": ""symbol"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;search;1.0.0;B;;false;search;none;search telemetry, UX analytics;4;1;1;6;yes
fa6c299865be;ui_trade_quick_open;ui;ui.click;Schnelles Trade-Modal öffnen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""origin"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""sessionId"": ""sess_456"", ""symbol"": ""ETHUSDT"", ""origin"": ""watchlist"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;trading;1.0.0;B;"Fire-and-forget analytic; modal opened client-side";false;trade;none;UX analytics, session replay;4;1;1;6;yes
6ede619dc272;watchlist_open_chart;watchlist;ui.click;Zum Chart navigieren;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""source"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""source"": ""watchlist"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;B;Prefill timeframe if available;false;watchlist;none;navigation metrics, chart preload;4;1;1;6;yes
6e3676e3c85b;chart_click;chart;ui.click;Auf Chart klicken (Marker);"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""action"": {""type"": ""string""}, ""coords"": {""type"": ""object""}, ""price"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""action"": ""place_marker"", ""coords"": {""x"": 1000, ""y"": 200}, ""price"": 49100, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;chart;1.0.0;C;;false;chart;light;annotation service, analytics;2;1;1;2;yes
149c56e6a3f1;chart_crosshair_move;chart;ui.mousemove;Crosshair bewegen, Tooltip anzeigen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""x"": {""type"": ""number""}, ""y"": {""type"": ""number""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}, ""price"": {""oneOf"": [{""type"": ""number""}, {""type"": ""null""}]}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""x"": 1234, ""y"": 234, ""ts"": ""2025-11-09T19:36:13.491220Z"", ""price"": 49000}";public;chart;1.0.0;C;"Buffer locally; send aggregated";false;chart;heavy_sample (0.1-1%);heatmap analytics, UX metrics;2;1;1;2;yes
f04752dbfabc;chart_indicator_add;chart;ui.interaction;Indikator hinzufügen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""indicator"": {""type"": ""string""}, ""params"": {""type"": ""object""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""indicator"": ""RSI"", ""params"": {""length"": 14}, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;chart;1.0.0;C;;false;chart;none;UX analytics, layout persistence;2;1;1;2;yes
e05d0c8b8b7d;chart_indicator_toggle;chart;ui.click;Indikator Sichtbarkeit umschalten;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""indicator"": {""type"": ""string""}, ""visible"": {""type"": ""boolean""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""indicator"": ""RSI"", ""visible"": true, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;chart;1.0.0;C;;false;chart;light;UX analytics;1;1;1;0;yes
aa35f94031d9;chart_tool_activate;chart;ui.click;Zeichenwerkzeug aktivieren;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""tool"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""tool"": ""trendline"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;chart;1.0.0;C;;false;chart;light;UX analytics;1;1;1;0;yes
3a723020cbac;replay_speed_change;replay;ui.click;Wiedergabe-Geschwindigkeit ändern;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""speed"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""replay_789"", ""speed"": ""2x"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;replay;1.0.0;C;;false;replay;light;UX analytics;1;1;3;-2;yes
7c0e7aac9948;replay_step;replay;ui.interaction;Schritt vor/zurück;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""direction"": {""type"": ""string""}, ""amount"": {""type"": ""number""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""replay_789"", ""direction"": ""forward"", ""amount"": 1, ""ts"": ""2025-11-09T19:36:13.491220Z""}";sensitive;replay;1.0.0;C;;false;replay;sampled;UX analytics;1;1;3;-2;yes
7cc46ff0dbbe;ui_snapshot_open;ui;ui.interaction;Snapshot-Modal öffnen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""context"": {""type"": ""string""}, ""symbol"": {""oneOf"": [{""type"": ""string""}, {""type"": ""null""}]}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""context"": ""dashboard"", ""symbol"": ""BTCUSDT"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;journal;1.0.0;C;;false;snapshot;light;analytics, snapshot UX metrics;2;1;1;2;yes
4a6c3bf16aea;ui_toast_dismiss;ui;ui.interaction;Toast schließen;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""toastId"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""toastId"": ""toast_01"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;C;;false;ui;sampled;UX analytics;1;1;1;0;yes
9a04c81511cc;watchlist_row_select;watchlist;ui.click;Zeile auswählen (Checkbox);"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""symbol"": {""type"": ""string""}, ""selected"": {""type"": ""boolean""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""symbol"", ""ts""]}";"[""sessionId"", ""symbol"", ""ts""]";"{""sessionId"": ""sess_456"", ""symbol"": ""BTCUSDT"", ""selected"": true, ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;C;Client-only unless persisted;false;watchlist;light;bulk toolbar metrics, UX analytics;2;1;1;2;yes
0d5cde858af1;watchlist_sort_change;watchlist;ui.click;Sortierung ändern;"{""type"": ""object"", ""properties"": {""sessionId"": {""type"": ""string""}, ""sortBy"": {""type"": ""string""}, ""direction"": {""type"": ""string""}, ""ts"": {""type"": ""string"", ""format"": ""date-time""}}, ""required"": [""sessionId"", ""ts""]}";"[""sessionId"", ""ts""]";"{""sessionId"": ""sess_456"", ""sortBy"": ""change_percent"", ""direction"": ""desc"", ""ts"": ""2025-11-09T19:36:13.491220Z""}";public;product/ux;1.0.0;C;Optionally persist to user settings;false;watchlist;light;UX analytics, personalization;2;1;1;2;yes
